Time,T107_C_Avg,SHF_Avg,PSPWatt_UP_Avg,PIRWatt_UP_Avg,PSPWatt_DOWN_Avg,PIRWatt_DOWN_Avg
01/04 14:59:59,19.011333333333337,-5.201366666666667,400.96666666666675,466.16666666666674,45.60153333333333,463.67
01/04 15:29:59,18.722666666666665,0.6476666666666665,159.2276666666667,455.24,4.398766666666668,454.87
01/04 15:59:59,18.54166666666667,3.7989,37.992333333333335,445.3233333333334,8.221533333333332,444.7933333333333
01/04 16:29:59,18.382333333333328,5.933966666666666,35.59633333333334,435.2666666666667,7.463433333333334,434.6166666666664
01/04 16:59:59,18.201666666666664,8.98513333333333,1.8280333333333332,419.77666666666664,0.0,421.3766666666667
01/04 17:29:58,18.014,11.552,0.0,409.0766666666667,0.0,411.3599999999999
01/04 17:59:58,17.810333333333336,14.002666666666666,0.0,401.93999999999994,0.0,404.34333333333336
01/04 18:29:58,17.593,16.787666666666663,0.0,396.41333333333336,0.0,398.5466666666667
01/04 18:59:58,17.397666666666666,17.65566666666667,0.0,393.2833333333331,0.0,395.2100000000001
01/04 19:29:58,17.223666666666666,18.183333333333334,0.0,391.5,0.0,393.2566666666667
01/04 19:59:58,17.06,18.900666666666663,0.0,388.7566666666667,0.0,390.5066666666666
01/04 20:29:58,16.91166666666667,19.092999999999996,0.0,387.01333333333304,0.0,388.56333333333333
01/04 20:59:57,16.788999999999998,18.602333333333334,0.0,386.3866666666665,0.0013666666666666664,387.66666666666674
01/04 21:29:57,16.680666666666667,18.36199999999999,0.0,386.85666666666674,0.18276666666666666,387.70333333333343
01/04 21:59:57,16.608666666666668,16.85366666666667,0.0,387.53000000000026,0.6482333333333333,388.3966666666666
01/04 22:29:57,16.583333333333325,14.588666666666667,0.0,388.2533333333333,0.6032333333333334,389.41333333333324
01/04 22:59:57,16.548666666666666,14.742333333333333,0.0,387.78000000000003,0.10216666666666666,389.12333333333333
01/04 23:29:57,16.459666666666667,17.017999999999997,0.0,384.1266666666667,0.0,385.8233333333334
01/04 23:59:57,16.35,18.594999999999995,0.0,381.67333333333323,0.0,383.26666666666677
01/05 00:29:56,16.233666666666668,19.49833333333333,0.0,379.95,6.666666666666667e-05,381.31333333333333
01/05 00:59:56,16.128,19.644999999999996,0.0,379.0533333333335,0.037066666666666664,380.1166666666668
01/05 01:29:56,16.07266666666666,17.489333333333335,0.03696666666666667,379.76000000000016,0.5079333333333332,380.5366666666666
01/05 01:59:56,16.051333333333343,15.934666666666663,0.0,381.13333333333344,0.28049999999999997,381.8266666666667
01/05 02:29:56,16.02233333333333,15.991333333333333,0.0,382.09999999999997,0.1117,382.72666666666663
01/05 02:59:56,15.987333333333341,15.748999999999997,0.0,381.4800000000001,0.049966666666666666,382.1266666666668
01/05 03:29:55,15.974000000000013,14.670333333333335,0.0,379.75666666666643,0.47866666666666663,380.76333333333343
01/05 03:59:55,15.966999999999992,14.089,0.0,379.19333333333344,0.5023666666666667,380.60666666666674
01/05 04:29:55,15.96,13.308666666666669,0.09403333333333333,379.74999999999994,0.8380333333333333,381.61333333333334
01/05 04:59:55,16.03333333333334,9.111666666666668,0.3761333333333334,382.4566666666667,1.1383666666666667,385.16333333333336
01/05 05:29:55,16.103333333333335,8.284,0.003033333333333334,384.42666666666685,0.7692999999999999,385.36999999999995
01/05 05:59:55,16.109000000000005,10.507999999999997,0.0006,384.1300000000001,0.15663333333333335,385.27666666666653
01/05 06:29:55,16.097666666666676,10.925,4.784199999999999,383.433333333333,0.697,384.6333333333334
01/05 06:59:54,16.147666666666666,7.7563666666666675,37.28633333333333,384.84,6.8610000000000015,387.47999999999996
01/05 07:29:54,16.298333333333332,1.9374666666666671,81.94000000000001,389.4799999999999,14.262666666666664,395.28999999999985
01/05 07:59:54,16.534,-4.6784,115.76666666666664,396.8833333333333,19.463,401.4800000000001
01/05 08:29:54,16.774333333333335,-6.693,107.15666666666665,403.19,17.103333333333335,404.62666666666667
01/05 08:59:54,17.009999999999998,-9.376333333333333,148.75333333333336,408.16666666666674,23.225,409.72666666666663
